title,context,question,answer,fluent(something you could say in the languege),correct answer,correct gramatically(correct way to answer the question),,,references,original question,predictions,FL-FC-LF,Synonym Substitution,predictions,FL-FC-LF,Typo,predictions,FL-FC-LF,Rewording,predictions,FL-FC-LF,Code-Switching,predictions,FL-FC-LF
Sejm Rzeczypospolitej Polskiej,"Historycznie udokumentowany sejm wyznaczył Władysław I Łokietek na 26 maja 1331 w Chęcinach. Ten ogólnopolski sejm rokował do 14 czerwca tycząc wojny znanej z bitwy pod Płowcami. Wydarzenie to odnotowane jest przez wielu historyków, począwszy od Jana Długosza. W roku 1493 król Jan I Olbracht zwołał sejm walny, czyli zjazd ogólnokrajowy, na którym wyłoniła się izba poselska – osobna izba sejmowa, będąca reprezentacją szlachty wybraną na sejmikach ziemskich. W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego. Ta formuła była jednym z najważniejszych przywilejów szlacheckich.",Czy za czasów istnienia I Rzeczypospolitej w Sejm mogły być zaangażowane jedynie osoby o statusie szlachty?,"{'text': ['W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego'], 'answer_start': [461]}",1,0,1,,,"Uznano, że prawo do reprezentowania wojskowych klubów w lidze ma wyłącznie Legia Warszawa",Dlaczego Wawel nie mógł dłużej występować w rozgrywkach pierwszoligowych?,W sezonie 2019/20 Wawel nie mógł dłużej występować w rozgrywkach pierwszoligowych.,0-0-1,Z jakiego powodu klub Wawel został wykluczony z pierwszej ligi?,W sezonie 2013/14 klub Wawel Kraków został wykluczony z rozgrywek Ekstraklasy.,0-0-1,Dlaczego Wawel nie mógł dłużej występować w rozgrywkach pierwszooligowych?,W sezonie 2019/20 Wawel nie mógł dłużej występować w rozgrywkach pierwszoligowych.,0-0-1,Czemu Wawel zakończył grę w pierwszej lidze?,W sezonie 2019/20 Wawel przegrał z Lechią Gdańsk i spadł do drugiej ligi.,1-0-1,Dlaczego Wawel nie mógł dłużej grać w top lidze?,"W sezonie 2019/20 Wawel nie mógł dłużej grać w ekstraklasie. Klub został zwolniony z Ekstraklasy po tym, jak w styczniu 2020 roku został zwolniony z Ekstraklasy.",0-0-1
Amanda Lear,"W 2006 otworzyła wystawę malarską o tytule Never Mind the Bollocks, Here's Amanda Lear w Nowym Jorku i otrzymała prestiżowy Order Sztuki i Literatury od francuskiego Ministra Kultury za swój udział w rozwoju sztuki francuskiej. Jesienią, dzięki wytwórni Dance Street wydano album With Love zawierający standardy jazzu i popu tradycyjnego z repertuaru ulubionych wokalistek Amandy. W niektórych krajach Europy wydano album na początku 2007, a w 2008 ukazała się we Włoszech jego specjalna reedycja. Lear zagrała w kilku filmach i nagrałą dubbing do francuskiej wersji filmu Łowcy smoków. W marcu 2009 Lear zadebiutowała jako aktorka teatralna w dobrze przyjętej sztuce Panique au ministère wystawianej w paryskim teatrze Porte-Saint-Martin. Latem wydała singiel „Someone Else’s Eyes”, nagrany w duecie z włoskim piosenkarzem o pseudonimie Deadstar, który następnie zremiksował Boy George. Piosenka zapowiadała kolejny studyjny album piosenkarki, zatytułowany Brief Encounters, który ukazał się w październiku dzięki niezależnej wytwórni Just Good Music for Your Ears, a już w następnym miesiącu pojawiła się następna płyta, Brand New Love Affair, zawierająca wyłącznie taneczne utwory. W tym samym roku Amanda wydała swoją nową autobiografię, Je ne suis pas celle que vous croyez..., dostępną jedynie w języku francuskim.",Co znalazło się na krążku With Love?,"{'text': ['standardy jazzu i popu tradycyjnego z repertuaru ulubionych wokalistek Amandy'], 'answer_start': [302]}",1,1,1,,,"Jedynym spotkaniem, którego nie dograł w pełnym wymiarze czasowym",Czy Edmund Kowal rozegrał wszystkie mecze przez całe spotkanie w sezonie 1959?,"Tak, Edmund Kowal rozegrał wszystkie mecze w sezonie 1959. Kowal rozegrał wszystkie mecze w sezonie 1959, a jego drużyna wygrała wszystkie mecze.",0-0-1,Czy Edmund Kowal zagrał pełne 90 minut w każdym meczu sezonu 1959?,"Tak, Edmund Kowal zagrał pełne 90 minut w każdym meczu sezonu 1959. Kowal był pierwszym zawodnikiem, który zagrał w każdym meczu w sezonie 1959, a jego ostatni mecz w sezonie 1959 był przeciwko Cleveland Browns. Kowal zagrał w każdym meczu w sezonie 1959, a jego ostatni mecz w sezonie 1959 był przeciwko Cleveland Browns. Kowal był pierwszym zawodnikiem, który zagrał w każdym meczu w sezonie",0-0-1,Czy Edmund Kowal rozegrał wszystkie meczee przez całe spotkanie w sezonie 1959?,"Tak, Edmund Kowal rozegrał wszystkie meczee przez cały sezon 1959. Kowal był kapitanem drużyny, która wygrała mistrzostwo kraju w 1959 roku.",1-0-1,Czy Kowal grał całe mecze w sezonie 1959?,"Tak, Kowal grał wszystkie mecze w sezonie 1959. Grał w trzech meczach przeciwko Pittsburgh Pirates w 1959 roku, w tym w pierwszym meczu przeciwko Cleveland Indians w piątek, w drugim meczu przeciwko Cincinnati Reds w niedzielę i w trzecim meczu przeciwko Pittsburgh Pirates w poniedziałek.",1-0-1,Czy Edmund Kowal rozegrał wszystkie matches przez całe spotkanie w sezonie 1959?,"Nie, nie.",0-1-1
Amanda Lear,"W 2006 otworzyła wystawę malarską o tytule Never Mind the Bollocks, Here's Amanda Lear w Nowym Jorku i otrzymała prestiżowy Order Sztuki i Literatury od francuskiego Ministra Kultury za swój udział w rozwoju sztuki francuskiej. Jesienią, dzięki wytwórni Dance Street wydano album With Love zawierający standardy jazzu i popu tradycyjnego z repertuaru ulubionych wokalistek Amandy. W niektórych krajach Europy wydano album na początku 2007, a w 2008 ukazała się we Włoszech jego specjalna reedycja. Lear zagrała w kilku filmach i nagrałą dubbing do francuskiej wersji filmu Łowcy smoków. W marcu 2009 Lear zadebiutowała jako aktorka teatralna w dobrze przyjętej sztuce Panique au ministère wystawianej w paryskim teatrze Porte-Saint-Martin. Latem wydała singiel „Someone Else’s Eyes”, nagrany w duecie z włoskim piosenkarzem o pseudonimie Deadstar, który następnie zremiksował Boy George. Piosenka zapowiadała kolejny studyjny album piosenkarki, zatytułowany Brief Encounters, który ukazał się w październiku dzięki niezależnej wytwórni Just Good Music for Your Ears, a już w następnym miesiącu pojawiła się następna płyta, Brand New Love Affair, zawierająca wyłącznie taneczne utwory. W tym samym roku Amanda wydała swoją nową autobiografię, Je ne suis pas celle que vous croyez..., dostępną jedynie w języku francuskim.",Czy Lear wystąpiła w jakiejś realizacji filmowej?,"{'text': ['Lear zagrała w kilku filmach'], 'answer_start': [498]}",1,1,1,,,2:2,Jakim wynikiem zakończył się mecz Górnika z Ruchem z końca października 1959 roku?,W meczu Górnik z Ruchem z końca października 1959 roku Górnik wygrał 1:0.,1-0-1,Jaki był rezultat meczu Górnika z Ruchem w październiku 1959?,W meczu Górnik z Ruchem w październiku 1959 roku Górnik wygrał 1:0.,1-0-1,Jakim wynikiemm zakończył się mecz Górnika z Ruchem z końca października 1959 roku?,Mecz zakończył się wynikiem 0:0.,1-0-1,Jaki był końcowy wynik spotkania Górnika z Ruchem z października 1959?,W meczu Górnik z Ruchem z października 1959 roku Górnik przegrał z Ruchem 1:2.,1-0-1,Jakim wynikiem zakończył się mecz Górnika z Ruchem z końca October 1959?,W meczu Górnik z Ruchem z końca October 1959 roku Górnik wygrał 1:0.,1-0-1
Amanda Lear,"W kolejnych latach Amanda nagrała kilka dyskotekowych singli dla różnych wytwórni, między innymi „Assassino” i „No Credit Card”, które jednak nie podbiły list przebojów. Z kolei jej działalność w telewizji cieszyła się dużą popularnością we Włoszech, gdzie aktualnie prowadziła program W le donne. W 1984 wydana została jej pierwsza książka, autobiografia My Life with Dalí, skupiająca się na jej relacji ze słynnym malarzem. W 1986 Lear zaczęła pracować w Stanach Zjednoczonych nad nową płytą, Secret Passion, stanowiącą mieszankę muzyki tanecznej i rocka, zawierającą między innymi cover piosenki „Wild Thing” grupy The Troggs. Płyta miała być nie tylko powrotem Amandy Lear na szczyty list przebojów w Europie, ale także próbą podbicia Wielkiej Brytanii, USA, Kanady i Australii. Plany pokrzyżował jednak wypadek samochodowy, któremu Amanda uległa tuż przed promocją płyty. Musiała spędzić wiele miesięcy w szpitalu i nie była w stanie promować albumu, który ostatecznie nie sprzedał się dobrze po żadnej stronie Atlantyku. Będąc w szpitalu, artystka zaczęła pisać powieść zatytułowaną L'Immortelle. Była to surrealistyczna historia opisująca cierpienia kobiety nieśmiertelnej i wiecznie młodej, która stopniowo traciła swoich przyjaciół i nie mogła zatrzymać upływu czasu.",Co przeszkodziło jej w promocji albumu Secret Passion?,"{'text': ['wypadek samochodowy'], 'answer_start': [808]}",1,1,1,,,nie biorąc rozbiegu w kierunku piłki,"W jaki sposób Edmund Kowal wykonał ""jedenastkę"" w meczu z Lechią?","W dniu 1 listopada 2018 roku, podczas meczu o Puchar Polski, Edmund Kowal strzelił jedenastkę w meczu z Lechią.",0-0-1,Jak Edmund Kowal strzelił rzut karny w meczu przeciw Lechii?,"W sobotnim meczu o Puchar Polski Edmund Kowal strzelił rzut karny w meczu przeciwko Lechii. Kowal strzelił rzut karny z odległości 11 metrów, ale piłkę odbił sędzia.",1-0-1,"W jaki sposób Edmund Kowal wykonał ""jedenastkke"" w meczu z Lechią?","W dniu 1 lipca 2018 roku, podczas meczu o Puchar Polski, Edmund Kowal strzelił jedenastkę z odległości około dwudziestu metrów od bramki.",1-0-1,Jak Kowal wykonał karnego przeciwko Lechii?,Z rzutu wolnego.,1-0-1,W jaki sposób Edmund Kowal wykonał penalty w meczu z Lechią?,"W dniu 6 czerwca 2018 roku w meczu o Puchar Polski Edmund Kowal strzelił gola w stylu ""jedenastki"".",1-0-1
Amanda Lear,"W kolejnych latach Amanda nagrała kilka dyskotekowych singli dla różnych wytwórni, między innymi „Assassino” i „No Credit Card”, które jednak nie podbiły list przebojów. Z kolei jej działalność w telewizji cieszyła się dużą popularnością we Włoszech, gdzie aktualnie prowadziła program W le donne. W 1984 wydana została jej pierwsza książka, autobiografia My Life with Dalí, skupiająca się na jej relacji ze słynnym malarzem. W 1986 Lear zaczęła pracować w Stanach Zjednoczonych nad nową płytą, Secret Passion, stanowiącą mieszankę muzyki tanecznej i rocka, zawierającą między innymi cover piosenki „Wild Thing” grupy The Troggs. Płyta miała być nie tylko powrotem Amandy Lear na szczyty list przebojów w Europie, ale także próbą podbicia Wielkiej Brytanii, USA, Kanady i Australii. Plany pokrzyżował jednak wypadek samochodowy, któremu Amanda uległa tuż przed promocją płyty. Musiała spędzić wiele miesięcy w szpitalu i nie była w stanie promować albumu, który ostatecznie nie sprzedał się dobrze po żadnej stronie Atlantyku. Będąc w szpitalu, artystka zaczęła pisać powieść zatytułowaną L'Immortelle. Była to surrealistyczna historia opisująca cierpienia kobiety nieśmiertelnej i wiecznie młodej, która stopniowo traciła swoich przyjaciół i nie mogła zatrzymać upływu czasu.",Czy mimo jej problemów album Secret Passion odniósł sukces sprzedażowy?,"{'text': ['Musiała spędzić wiele miesięcy w szpitalu i nie była w stanie promować albumu, który ostatecznie nie sprzedał się dobrze po żadnej stronie Atlantyku'], 'answer_start': [877]}",1,1,1,,,informacja publiczna dotycząca Sejmu i jego organów oraz Kancelarii Sejmu,Co znajduje się w systemie informacyjnym?,"System informatyczny to zbiór danych, które są przechowywane w komputerze lub innym urządzeniu i są używane do wykonywania zadań lub wykonywania określonych zadań. Systemy informatyczne mogą być zaprojektowane do wykonywania różnych zadań, takich jak zarządzanie danymi, obsługa klientów i udostępnianie informacji. Systemy informatyczne mogą być również zaprojektowane do wykonywania różnych zadań, takich jak zarządzanie bazą danych, obsługa klienta",1-0-1,Jakie dane zawiera system informacyjny?,"Dane obejmują informacje o użytkownikach, danych o transakcjach, danych o produktach, danych o stanie magazynowym, danych o klientach i danych o płatnościach.",1-0-1,Co znajduje się w systemie informacyjnymm?,"Systemy informatyczne to zbiór danych i informacji, które są przechowywane i przetwarzane przez komputery. Zazwyczaj składa się z zestawu urządzeń, programów i innych elementów, które są używane do uzyskiwania dostępu do danych i wykonywania zadań. Systemy informatyczne mogą być wykorzystywane do różnych celów, takich jak: - gromadzenie i przetwarzanie danych: systemy informatyczne mogą być wykorzystywane do gromadzenia i przetwarzania",1-0-1,Jakie informacje przechowuje system informacyjny?,"System informacyjny to zbiór danych, które są przechowywane w komputerze. Zazwyczaj zawiera informacje takie jak nazwa firmy, adres, numer telefonu i adres e-mail. Systemy informatyczne mogą być wykorzystywane do różnych celów, takich jak zarządzanie danymi, gromadzenie informacji i udostępnianie informacji. Mogą być również wykorzystywane do uczenia maszynowego i automatyzacji zadań. Niektóre przykłady systemów informatycznych to: - systemy zarządzania",1-0-1,Co znajduje się w info systemie?,"W infosystemie znajduje się wiele informacji, które są wykorzystywane do zarządzania i analizy danych. Informacje te mogą być wykorzystywane do tworzenia raportów, analizy danych i podejmowania decyzji. W infosystemie znajduje się również wiele narzędzi i narzędzi, które mogą być wykorzystywane do tworzenia i analizy danych. Narzędzia te mogą być wykorzystywane do tworzenia i analizy danych w różnych formatach, takich jak tabele, wykr",1-0-1
Amanda Lear,"W kolejnych latach Amanda nagrała kilka dyskotekowych singli dla różnych wytwórni, między innymi „Assassino” i „No Credit Card”, które jednak nie podbiły list przebojów. Z kolei jej działalność w telewizji cieszyła się dużą popularnością we Włoszech, gdzie aktualnie prowadziła program W le donne. W 1984 wydana została jej pierwsza książka, autobiografia My Life with Dalí, skupiająca się na jej relacji ze słynnym malarzem. W 1986 Lear zaczęła pracować w Stanach Zjednoczonych nad nową płytą, Secret Passion, stanowiącą mieszankę muzyki tanecznej i rocka, zawierającą między innymi cover piosenki „Wild Thing” grupy The Troggs. Płyta miała być nie tylko powrotem Amandy Lear na szczyty list przebojów w Europie, ale także próbą podbicia Wielkiej Brytanii, USA, Kanady i Australii. Plany pokrzyżował jednak wypadek samochodowy, któremu Amanda uległa tuż przed promocją płyty. Musiała spędzić wiele miesięcy w szpitalu i nie była w stanie promować albumu, który ostatecznie nie sprzedał się dobrze po żadnej stronie Atlantyku. Będąc w szpitalu, artystka zaczęła pisać powieść zatytułowaną L'Immortelle. Była to surrealistyczna historia opisująca cierpienia kobiety nieśmiertelnej i wiecznie młodej, która stopniowo traciła swoich przyjaciół i nie mogła zatrzymać upływu czasu.",O czym miała opowiadać jej książka L'Immortelle?,"{'text': ['cierpienia kobiety nieśmiertelnej i wiecznie młodej, która stopniowo traciła swoich przyjaciół i nie mogła zatrzymać upływu czasu'], 'answer_start': [1146]}",1,1,1,,,w Systemie Informacyjnym Sejmu,Gdzie publikowane są informacje w sprawie Sejmu i Kancelarii?,Informacje o Sejmu i Kancelarii Prezydenta RP są publikowane na stronie internetowej Sejmu i Kancelarii Prezydenta RP.,0-1-1,W jakim miejscu dostępne są dane dotyczące Sejmu i Kancelarii?,Dane dotyczące Sejmu i Kancelarii dostępne są na stronie internetowej Sejmu (www.sejm.gov.pl).,1-1-1,Gdzie publikowane są informacjie w sprawie Sejmu i Kancelarii?,Informacje o Sejmie i Kancelarii Prezydenta RP są publikowane na stronie internetowej Sejmu i Kancelarii Prezydenta RP.,1-1-1,Gdzie można znaleźć wiadomości dotyczące Sejmu i Kancelarii?,Wiadomości dotyczące Sejmu i Kancelarii można znaleźć na stronie internetowej Sejmu i Kancelarii Prezesa Rady Ministrów.,1-1-1,Gdzie publikowane są informacje w sprawie Sejmu i Chancellery?,"Strona internetowa Sejmu i Chancellery jest dostępna na stronie internetowej Sejmu (www.sejm.gov.pl). Strona internetowa zawiera również informacje o rządach i instytucjach rządowych, w tym o rządach federalnych, stanowych i lokalnych. Strona internetowa zawiera również informacje o rządach i instytucjach rządowych, w tym o rządach federalnych, stanowych i lokalnych. Strona internetowa zawiera również informacje o rząd",0-0-0
Henryk Jerzy Chmielewski,"Szerzej znany z bardzo popularnej, ukazującej się od 1957, serii komiksów „Tytus, Romek i A’Tomek”, która rozeszła się łącznie w wielomilionowym nakładzie. Przez wiele lat pracował w czasopiśmie „Świat Młodych”, w którym publikował kolejne odcinki. W latach 1989–1990 powstały dwa dziesięciominutowe odcinki serialu animowanego pt. „Narodziny Tytusa” oraz „Edukacja”. Dwanaście lat później na podstawie scenariusza wyłonionego w drodze konkursu powstał pełnometrażowy film animowany Tytus, Romek i A’Tomek wśród złodziei marzeń. Do maja 2010 ukazało się 31 części serii komiksów „Tytus, Romek i A’Tomek” oraz książki W odwiedziny do rodziny. Napisał też autobiografię Urodziłem się w Barbakanie (1999, późniejsze wydanie miało tytuł Tarabanie w Barbakanie) oraz jej kontynuacje, Tytus zlustrowany (2007, późniejsze wydanie pod tytułem Żywot człeka zmałpionego). Jest również autorem ilustracji do książki Barbary Tylickiej Generał Ciupinek. W styczniu 2005 premierę miała gra komputerowa Tytus, Romek i A’Tomek – Armia zbuntowanych robotów. W 2009 Poczta Polska wprowadziła do obiegu znaczki pocztowe z Tytusem, Romkiem i A’Tomkiem, a także kolekcjonerską kopertę FDC. Pod koniec 2010 wydawnictwo Agora wydało słuchowisko CD na podstawie XIII księgi przygód „Tytusa, Romka i A’Tomka” – „Wyprawa na wyspy nonsensu” – z dołączoną książeczką z rysunkami Papcia Chmiela, a Poczta Polska wydała w wersji limitowanej kalendarz na rok 2011 – 4 pory uśmiechu z ilustracjami narysowanymi m.in. przez Chmielewskiego. W maju 2011 została wydana książka autorstwa Chmielewskiego pt. Witek sprytek i inne opowieści. W 2015 wydawnictwo Egmont wydało grę planszową Tytus, Romek i A’Tomek, a wydawnictwo Prószyński i spółka – komiks Elemelementarz. W latach 2009-2020 kontynuował serię Tytus, Romek i A’Tomek w postaci dziesięciu albumów historycznych.","W którym roku zadebiutował ""Tytus, Romek i A'Tomek""?","{'text': ['1957'], 'answer_start': [53]}",1,1,1,,,W okresie I Rzeczypospolitej Sejm był przedstawicielem wyłącznie stanu szlacheckiego,Czy za czasów istnienia I Rzeczypospolitej w Sejm mogły być zaangażowane jedynie osoby o statusie szlachty?,Nie.,1-0-1,Czy w I Rzeczypospolitej tylko szlachta mogła uczestniczyć w Sejmie?,Nie.,1-0-1,Czy za czasów istnienia I Rzeczypospolitej w Sejm mogły być zaangażowanee jedynie osoby o statusie szlachty?,Nie.,1-0-1,Czy w czasach I RP Sejm był zarezerwowany tylko dla szlachty?,Nie.,1-0-1,Czy w czasach I Rzeczypospolitej w Sejm mogły być zaangażowane tylko nobles?,Nie.,1-0-1
Henryk Jerzy Chmielewski,"Szerzej znany z bardzo popularnej, ukazującej się od 1957, serii komiksów „Tytus, Romek i A’Tomek”, która rozeszła się łącznie w wielomilionowym nakładzie. Przez wiele lat pracował w czasopiśmie „Świat Młodych”, w którym publikował kolejne odcinki. W latach 1989–1990 powstały dwa dziesięciominutowe odcinki serialu animowanego pt. „Narodziny Tytusa” oraz „Edukacja”. Dwanaście lat później na podstawie scenariusza wyłonionego w drodze konkursu powstał pełnometrażowy film animowany Tytus, Romek i A’Tomek wśród złodziei marzeń. Do maja 2010 ukazało się 31 części serii komiksów „Tytus, Romek i A’Tomek” oraz książki W odwiedziny do rodziny. Napisał też autobiografię Urodziłem się w Barbakanie (1999, późniejsze wydanie miało tytuł Tarabanie w Barbakanie) oraz jej kontynuacje, Tytus zlustrowany (2007, późniejsze wydanie pod tytułem Żywot człeka zmałpionego). Jest również autorem ilustracji do książki Barbary Tylickiej Generał Ciupinek. W styczniu 2005 premierę miała gra komputerowa Tytus, Romek i A’Tomek – Armia zbuntowanych robotów. W 2009 Poczta Polska wprowadziła do obiegu znaczki pocztowe z Tytusem, Romkiem i A’Tomkiem, a także kolekcjonerską kopertę FDC. Pod koniec 2010 wydawnictwo Agora wydało słuchowisko CD na podstawie XIII księgi przygód „Tytusa, Romka i A’Tomka” – „Wyprawa na wyspy nonsensu” – z dołączoną książeczką z rysunkami Papcia Chmiela, a Poczta Polska wydała w wersji limitowanej kalendarz na rok 2011 – 4 pory uśmiechu z ilustracjami narysowanymi m.in. przez Chmielewskiego. W maju 2011 została wydana książka autorstwa Chmielewskiego pt. Witek sprytek i inne opowieści. W 2015 wydawnictwo Egmont wydało grę planszową Tytus, Romek i A’Tomek, a wydawnictwo Prószyński i spółka – komiks Elemelementarz. W latach 2009-2020 kontynuował serię Tytus, Romek i A’Tomek w postaci dziesięciu albumów historycznych.",W czyjej książce pojawiły się grafiki stworzone przez Chmielewskiego?,"{'text': ['Barbary Tylickiej'], 'answer_start': [905]}",1,1,1,,,standardy jazzu i popu tradycyjnego z repertuaru ulubionych wokalistek Amandy,Co znalazło się na krążku With Love?,With Love to album amerykańskiego rapera Drake'a.,1-0-1,Co zostało umieszczone na albumie With Love?,"Album zawiera utwory z zespołu The Beatles, takie jak ""Ready to Run"", ""Love Story"", ""The Times They Are A-Changin'"" i ""Ready to Run"".",0-0-1,Co znalało się na krązku With Love?,"W języku angielskim, ""With Love"" to skrót od ""With affection"".",1-0-1,Jakie utwory znajdują się na płycie With Love?,1. Własne Jestem gotowa. Dwa. Jestem gotowa. Trzecie. Jestem gotowa. 4. Jestem gotowa. Piąty. Jestem gotowa. 6. Wystarczy. Jestem gotowa. Siedem. Jestem gotowa. 8. Wystarczy. Jestem gotowa. Dziewiątka. Jestem gotowa. Dziesięć. Jestem gotowa.,0-0-1,Co znalazło się na albumie With Love?,"With Love to album studyjny zespołu rockowego The Beatles. Album zawiera utwory z ich najnowszego albumu, Abbey Road, który ukazał się w czerwcu 1970 roku. Album zawiera również utwory z ich poprzedniego albumu, With the Beatles. Album zawiera również utwory z ich poprzedniego albumu, Abbey Road. Album zawiera również utwory z ich poprzedniego albumu, With the Beatles. Album zawiera również utwory z ich poprzedniego albumu,",0-0-1
Henryk Jerzy Chmielewski,"Szerzej znany z bardzo popularnej, ukazującej się od 1957, serii komiksów „Tytus, Romek i A’Tomek”, która rozeszła się łącznie w wielomilionowym nakładzie. Przez wiele lat pracował w czasopiśmie „Świat Młodych”, w którym publikował kolejne odcinki. W latach 1989–1990 powstały dwa dziesięciominutowe odcinki serialu animowanego pt. „Narodziny Tytusa” oraz „Edukacja”. Dwanaście lat później na podstawie scenariusza wyłonionego w drodze konkursu powstał pełnometrażowy film animowany Tytus, Romek i A’Tomek wśród złodziei marzeń. Do maja 2010 ukazało się 31 części serii komiksów „Tytus, Romek i A’Tomek” oraz książki W odwiedziny do rodziny. Napisał też autobiografię Urodziłem się w Barbakanie (1999, późniejsze wydanie miało tytuł Tarabanie w Barbakanie) oraz jej kontynuacje, Tytus zlustrowany (2007, późniejsze wydanie pod tytułem Żywot człeka zmałpionego). Jest również autorem ilustracji do książki Barbary Tylickiej Generał Ciupinek. W styczniu 2005 premierę miała gra komputerowa Tytus, Romek i A’Tomek – Armia zbuntowanych robotów. W 2009 Poczta Polska wprowadziła do obiegu znaczki pocztowe z Tytusem, Romkiem i A’Tomkiem, a także kolekcjonerską kopertę FDC. Pod koniec 2010 wydawnictwo Agora wydało słuchowisko CD na podstawie XIII księgi przygód „Tytusa, Romka i A’Tomka” – „Wyprawa na wyspy nonsensu” – z dołączoną książeczką z rysunkami Papcia Chmiela, a Poczta Polska wydała w wersji limitowanej kalendarz na rok 2011 – 4 pory uśmiechu z ilustracjami narysowanymi m.in. przez Chmielewskiego. W maju 2011 została wydana książka autorstwa Chmielewskiego pt. Witek sprytek i inne opowieści. W 2015 wydawnictwo Egmont wydało grę planszową Tytus, Romek i A’Tomek, a wydawnictwo Prószyński i spółka – komiks Elemelementarz. W latach 2009-2020 kontynuował serię Tytus, Romek i A’Tomek w postaci dziesięciu albumów historycznych.",W jaki sposób Poczta Polska uhonorowała dokonania Chmielewskiego w 2009 roku?,"{'text': ['wprowadziła do obiegu znaczki pocztowe z Tytusem, Romkiem i A’Tomkiem, a także kolekcjonerską kopertę FDC'], 'answer_start': [1062]}",1,1,1,,,Lear zagrała w kilku filmach,Czy Lear wystąpiła w jakiejś realizacji filmowej?,"Tak, Lear wystąpiła w kilku filmach, w tym w ""The King's Speech"" w 1992 roku i w ""The Princess Bride"" w 1997 roku.",1-0-1,Czy Lear zagrała w jakiejś produkcji filmowej?,"Tak, Lear zagrała w kilku produkcjach filmowych, w tym w ""The Princess Bride"", ""The Wizard of Oz"" i ""The Lion King"".",1-0-1,Czy Lear wstąpiła w jakiejś realizacj filmowej?,"Tak, Lear wystąpiła w kilku filmach, w tym w ""The Graduate"" i ""The Wolf of Wall Street"".",1-0-1,Czy Lear brała udział w jakimś filmie?,"Tak, Lear brała udział w kilku filmach. W 2002 roku zagrała w filmie ""The Graduate"" jako Catherine Bach. W 2004 roku zagrała w filmie ""The Graduate: The Life of Brian"" jako Catherine Bach. W 2005 roku zagrała w filmie ""The Graduate: The Life of Brian"" jako Catherine Bach. W 2006 roku zagrała w filmie ""The Graduate: The Life of Brian"" jako Catherine Bach. W 2007 roku zagrała w filmie ""The Graduate: The Life of Brian"" jako Catherine Bach. W 2008 roku",0-0-1,Czy Lear wystąpiła w jakiejś movie realizacji?,"Tak, Lear wystąpił w kilku filmach, w tym w ""Królu Learze"" i ""Król Lear"".",1-0-1
Life F190,"Przed Grand Prix Portugalii w modelu F190 zainstalowano silnik Judd. Personel poświęcił dziesięć dni na przebudowanie samochodu, jako że należało zmodyfikować podwozie, karoserię i mocowanie silnika; po tych zmianach samochód był lżejszy o około 80 kg. Giacomelli wyjawił nadzieję, że po wymianie silnika jego samochód będzie w stanie osiągać 300 km/h. Ostatnie prace nad umiejscowieniem silnika miały miejsce na torze Autódromo do Estoril tuż przed Grand Prix Portugalii, kiedy to okazało się, że pokrywa silnika nie pasuje do jednostki Judd. Giacomelli nie zdołał nawet wyjechać z pit lane z powodu uszkodzenia układu elektrycznego.",Jaki silnik zasilał model F190 począwszy od wyścigu w Portugalii?,"{'text': ['Judd'], 'answer_start': [63]}",1,1,1,,,wypadek samochodowy,Co przeszkodziło jej w promocji albumu Secret Passion?,"Oczywiście bardziej skomplikowana wersja zdania brzmi: ""To przeszkodziło jej w promocji albumu Secret Passion, ponieważ była zbyt słabo znana w branży muzycznej"".",1-0-1,Co uniemożliwiło jej promowanie albumu Secret Passion?,"Jej ostatni album, ""Secret Passion"", został wydany w czerwcu 2013 roku.",1-0-1,Co przszkodziło jej w promocji albumu Secret Pasion?,"Jej ostatni album, ""Secret Passion"", został wydany w czerwcu 2013 roku.",1-0-1,Dlaczego nie mogła promować Secret Passion?,"Sekretna pasja została zablokowana przez rząd Stanów Zjednoczonych, ponieważ była zbyt kontrowersyjna i zbyt skomplikowana. Sekretna pasja była zbyt kontrowersyjna, aby ją promować, ponieważ była zbyt skomplikowana i zbyt skomplikowana. Jej krytycy twierdzą, że była zbyt skomplikowana i zbyt skomplikowana, i że była zbyt skomplikowana, aby ją promować. Jej",0-0-1,Co interrupted jej promocję albumu Secret Passion?,"W maju 2010 roku została oskarżona o udział w morderstwie, które miało miejsce w jej domu w mieście Baltimore.",1-0-1
